"Number","ISS","Mission","Participants","Duration","Date","Notes"
"1","","Voskhod 2","Alexi Leonov","23m","1965-03-18","First spacewalk"
"2","","Gemini IV","Edward White, James McDivitt","46m","1966-06-03",""
"3","","Gemini IX-A","Eugene Cernan, Thomas Stafford","2h 8m","1966-06-05","No egress by Stafford"
"4","","Gemini X","Michael Collins, John Young","50m","1966-07-19","No egress by Young"
"5","","Gemini X","Michael Collins, John Young","40m","1966-07-20","No egress by Young"
"6","","Gemini X","Michael Collins, John Young","3m","1966-07-21","Equipment dump"
"7","","Gemini XI","Richard Gordon, Charles Conrad","43m","1966-09-13","No egress by Conrad"
"8","","Gemini XI","Richard Gordon, Charles Conrad","4m","1966-09-13","Equipment dump"
"9","","Gemini XI","Richard Gordon, Charles Conrad","2h 10m","1966-09-14","No egress by Conrad"
"10","","Gemini XII","Edwin Aldrin, James Lovell","2h 30m","1966-11-12","No egress by Lovell"
"11","","Gemini XII","Edwin Aldrin, James Lovell","2h 8m","1966-11-13","No egress by Lovell"
"12","","Gemini XII","Edwin Aldrin, James Lovell","58m","1966-11-14","No egress by Lovell"
"13","","Soyuz 5","Yevgeni Khrunov, Aleksei Yeliseyev","53m","1969-01-15",""
"14","","Apollo 9","Russell Schweickart, James McDivitt","1h 7m","1969-03-06",""
"15","","Apollo 9","David Scott","1h 1m","1969-03-06","Scott from CM"
"16","","Apollo 11","Edwin Aldrin, Neil Armstrong","2h 32m","1969-07-21",""
"17","","Apollo 11","Edwin Aldrin, Neil Armstrong","5m","1969-07-21","Equipment dump"
"18","","Apollo 12","Alan Bean, Charles Conrad","3h 56m","1969-11-19",""
"19","","Apollo 12","Alan Bean, Charles Conrad","3h 49m","1969-11-20",""
"20","","Apollo 12","Charles Conrad, Alan Bean","5m","1969-11-20","Equipment dump"
"21","","Apollo 14","Edgar Mitchell, Alan Shepard","4h 48m","1971-02-05",""
"22","","Apollo 14","Edgar Mitchell, Alan Shepard","4h 35m","1971-02-06",""
"23","","Apollo 15","David Scott","33m","1971-07-31","Panoramic photos"
"24","","Apollo 15","James Irwin, David Scott","6h 33m","1971-07-31",""
"25","","Apollo 15","James Irwin, David Scott","7h 12m","1971-08-01",""
"26","","Apollo 15","James Irwin, David Scott","4h 50m","1971-08-02",""
"27","","Apollo 15","James Irwin, David Scott","12m","1971-08-02","Equipment dump"
"28","","Apollo 15","Alfred Worden, James Irwin, David Scott","39m","1971-08-05",""
"29","","Apollo 16","Charles Duke, John Young","7h 11m","1972-04-21",""
"30","","Apollo 16","Charles Duke, John Young","7h 23m","1972-04-22",""
"31","","Apollo 16","Charles Duke, John Young","5h 40m","1972-04-23",""
"32","","Apollo 16","Charles Duke, John Young","4m","1972-04-23","Equipment dump"
"33","","Apollo 16","Thomas Mattingly, Charles Duke, John Young","1h 24m","1972-04-25",""
"34","","Apollo 17","Eugene Cernan, Harrison Schmitt","7h 12m","1972-12-11",""
"35","","Apollo 17","Eugene Cernan, Harrison Schmitt","7h 37m","1972-12-12",""
"36","","Apollo 17","Eugene Cernan, Harrison Schmitt","7h 15m","1972-12-13",""
"37","","Apollo 17","Harrison Schmitt, Eugene Cernan","7m","1972-12-14","Equipment dump"
"38","","Apollo 17","Harrison Schmitt, Eugene Cernan","4m","1972-12-14","Equipment dump"
"39","","Apollo 17","Ronald Evans, Harrison Schmitt, Eugene Cernan","1h 6m","1972-12-17",""
"40","","Skylab 1","Paul Weitz","40m","1973-05-25","Skylab 1"
"41","","Skylab 1","Charles Conrad, Joseph Kerwin","3h 23m","1973-06-07","Skylab 1"
"42","","Skylab 1","Charles Conrad, Paul Weitz","1h 34m","1973-06-19","Skylab 1"
"43","","Skylab 2","Owen Garriott, Jack Lousma","6h 37m","1973-08-06","Skylab 2"
"44","","Skylab 2","Owen Garriott, Jack Lousma","4h 37m","1973-08-24","Skylab 2"
"45","","Skylab 2","Alan Bean, Owen Garriott","2h 45m","1973-09-22","Skylab 2"
"46","","Skylab 3","Edward Gibson, William Pogue","6h 36m","1973-11-22","Skylab 3"
"47","","Skylab 3","Gerald Carr, William Pogue","7h 0m","1973-12-25","Skylab 3"
"48","","Skylab 3","Gerald Carr, William Pogue","3h 34m","1973-12-29","Skylab 3"
"49","","Skylab 3","Gerald Carr, William Pogue","5h 24m","1974-02-03","Skylab 3"
"50","","Salyut 6, PE-1","Georgi Grechko, Yuri Romanenko","1h 28m","1977-12-19",""
"51","","Salyut 6, PE-2","Aleksandr Ivanchenkov, Vladimir Kovalyonok","2h 20m","1978-07-29","Ivanchenko actually depressurized at 03:57, 3 minutes before Kovalyonok"
"52","","Salyut 6, PE-3","Vladimir Lyakhov, Valeri Ryumin","1h 23m","1979-08-15",""
"53","","Salyut 7, PE-1","Anatoli Berezovoi, Valentin Lebedev","2h 33m","1982-07-30",""
"54","","STS-6","Franklin Musgrave, Donald Peterson","4h 10m","1983-04-07",""
"55","","Salyut 7, PE-2","Aleksandr Aleksandrov, Vladimir Lyakhov","2h 49m","1983-11-01",""
"56","","Salyut 7, PE-2","Aleksandr Aleksandrov, Vladimir Lyakhov","2h 55m","1983-11-03",""
"57","","41-B","Bruce McCandless, Robert Stewart","5h 55m","1984-02-07",""
"58","","41-B","Bruce McCandless, Robert Stewart","6h 17m","1984-02-09",""
"59","","41-C","George Nelson, James van Hoften","2h 51m","1984-04-08",""
"60","","41-C","George Nelson, James van Hoften","6h 38m","1984-04-11",""
"61","","Salyut 7, PE-3","Leonid Kizim, Vladimir Solovyov","4h 15m","1984-04-23",""
"62","","Salyut 7, PE-3","Leonid Kizim, Vladimir Solovyov","5h 0m","1984-04-26",""
"63","","Salyut 7, PE-3","Leonid Kizim, Vladimir Solovyov","2h 45m","1984-04-29",""
"64","","Salyut 7, PE-3","Leonid Kizim, Vladimir Solovyov","2h 45m","1984-05-03",""
"65","","Salyut 7, PE-3","Leonid Kizim, Vladimir Solovyov","3h 5m","1984-05-18",""
"66","","Salyut 7, VE-4","Vladimir Dzhanibekov, Svetlana Savitskaya","3h 34m","1984-07-25","First woman to spacewalk"
"67","","Salyut 7, PE-3","Leonid Kizim, Vladimir Solovyov","5h 0m","1984-08-08",""
"68","","41-G","David Leestma, Kathryn Sullivan","3h 33m","1984-10-11","First American woman to spacewalk"
"69","","51-A","Joseph Allen, Dale Gardner","6h 10m","1984-11-12",""
"70","","51-A","Joseph Allen, Dale Gardner","6h 1m","1984-11-14",""
"71","","51-D","Stanley Griggs, Jeffrey Hoffman","3h 10m","1985-04-16",""
"72","","Salyut 7, PE-4","Vladimir Dzhanibekov, Viktor Savinykh","5h 0m","1985-08-02",""
"73","","51-I","William Fisher, James van Hoften","7h 8m","1985-08-31",""
"74","","51-I","William Fisher, James van Hoften","4h 41m","1985-09-01",""
"75","","61-B","Jerry Ross, Sherwood Spring","5h 34m","1985-11-29",""
"76","","61-B","Jerry Ross, Sherwood Spring","6h 46m","1985-12-01",""
"77","","Salyut 7, PE-6","Leonid Kizim, Vladimir Solovyov","3h 50m","1986-05-28",""
"78","","Salyut 7, PE-6","Leonid Kizim, Vladimir Solovyov","5h 0m","1986-05-31",""
"79","","EO-2","Aleksandr Laveykin, Yuri Romanenko","3h 40m","1987-04-11",""
"80","","EO-2","Aleksandr Laveykin, Yuri Romanenko","1h 53m","1987-06-12",""
"81","","EO-2","Aleksandr Laveykin, Yuri Romanenko","3h 15m","1987-06-16",""
"82","","EO-3","Musa Manarov, Vladimir Titov","4h 25m","1988-02-26",""
"83","","EO-3","Musa Manarov, Vladimir Titov","5h 10m","1988-06-30",""
"84","","EO-3","Musa Manarov, Vladimir Titov","4h 12m","1988-10-20",""
"85","","EO-3/4","Jean-Loup Chretien, Aleksandr Volkov","6h 0m","1988-12-09",""
"86","","EO-5","Aleksandr Serebrov, Aleksandr Viktorenko","2h 56m","1990-01-08",""
"87","","EO-5","Aleksandr Serebrov, Aleksandr Viktorenko","2h 54m","1990-01-11",""
"88","","EO-5","Aleksandr Serebrov, Aleksandr Viktorenko","3h 2m","1990-01-26",""
"89","","EO-5","Aleksandr Serebrov, Aleksandr Viktorenko","4h 59m","1990-02-01",""
"90","","EO-5","Aleksandr Serebrov, Aleksandr Viktorenko","3h 45m","1990-02-05",""
"91","","EO-6","Aleksandr Balandin, Anatoliy Solovyov","7h 16m","1990-07-17",""
"92","","EO-6","Aleksandr Balandin, Anatoliy Solovyov","3h 31m","1990-07-26",""
"93","","EO-7","Gennadi Manakov, Gennadi Strekalov","2h 45m","1990-10-29",""
"94","","EO-8","Viktor Afanasyev, Musa Manarov","5h 18m","1991-01-07",""
"95","","EO-8","Viktor Afanasyev, Musa Manarov","5h 33m","1991-01-23",""
"96","","EO-8","Viktor Afanasyev, Musa Manarov","6h 20m","1991-01-26",""
"97","","STS-37","Jerome Apt, Jerry Ross","4h 38m","1991-04-07",""
"98","","STS-37","Jerome Apt, Jerry Ross","6h 11m","1991-04-08",""
"99","","EO-8","Viktor Afanasyev, Musa Manarov","3h 34m","1991-04-25",""
"100","","EO-9","Anatoli Artsebarsky, Sergei Krikalyov","4h 58m","1991-06-24",""
"101","","EO-9","Anatoli Artsebarsky, Sergei Krikalyov","3h 24m","1991-06-28",""
"102","","EO-9","Anatoli Artsebarsky, Sergei Krikalyov","5h 56m","1991-07-15",""
"103","","EO-9","Anatoli Artsebarsky, Sergei Krikalyov","5h 28m","1991-07-19",""
"104","","EO-9","Anatoli Artsebarsky, Sergei Krikalyov","5h 42m","1991-07-23",""
"105","","EO-9","Anatoli Artsebarsky, Sergei Krikalyov","6h 49m","1991-07-27",""
"106","","EO-10","Sergei Krikalyov, Aleksandr Volkov","4h 12m","1992-02-20",""
"107","","STS-49","Richard Hieb, Pierre Thuot","3h 51m","1992-05-10",""
"108","","STS-49","Richard Hieb, Pierre Thuot","5h 26m","1992-05-11",""
"109","","STS-49","Thomas Akers, Richard Hieb, Pierre Thuot","8h 29m","1992-05-13",""
"110","","STS-49","Thomas Akers, Kathryn Thornton","7h 45m","1992-05-14",""
"111","","EO-11","Aleksandr Kaleri, Aleksandr Viktorenko","2h 3m","1992-07-08",""
"112","","EO-12","Sergei Avdeyev, Anatoliy Solovyov","3h 56m","1992-09-03",""
"113","","EO-12","Sergei Avdeyev, Anatoliy Solovyov","5h 8m","1992-09-07",""
"114","","EO-12","Sergei Avdeyev, Anatoliy Solovyov","5h 44m","1992-09-11",""
"115","","EO-12","Sergei Avdeyev, Anatoliy Solovyov","3h 33m","1992-09-15",""
"116","","STS-54","Gregory Harbaugh, Mario Runco","4h 28m","1993-01-17",""
"117","","EO-13","Gennadi Manakov, Aleksandr Poleshchuk","5h 25m","1993-04-19",""
"118","","EO-13","Gennadi Manakov, Aleksandr Poleshchuk","4h 33m","1993-06-18",""
"119","","STS-57","George Low, Peter Wisoff","5h 50m","1993-06-25",""
"120","","EO-14","Aleksandr Serebrov, Vasili Tsibliyev","4h 18m","1993-09-16",""
"121","","STS-51","James Newman, Carl Walz","7h 5m","1993-09-16",""
"122","","EO-14","Aleksandr Serebrov, Vasili Tsibliyev","3h 14m","1993-09-20",""
"123","","EO-14","Aleksandr Serebrov, Vasili Tsibliyev","1h 51m","1993-09-28",""
"124","","EO-14","Aleksandr Serebrov, Vasili Tsibliyev","38m","1993-10-22",""
"125","","EO-14","Aleksandr Serebrov, Vasili Tsibliyev","4h 12m","1993-10-29",""
"126","","STS-61","Jeffrey Hoffman, Franklin Musgrave","7h 54m","1993-12-05","Hubble repair"
"127","","STS-61","Thomas Akers, Kathryn Thornton","6h 36m","1993-12-06","Hubble repair"
"128","","STS-61","Jeffrey Hoffman, Franklin Musgrave","6h 47m","1993-12-07","Hubble repair"
"129","","STS-61","Thomas Akers, Kathryn Thornton","6h 50m","1993-12-08","Hubble repair"
"130","","STS-61","Jeffrey Hoffman, Franklin Musgrave","6h 51m","1993-12-09","Hubble repair"
"131","","EO-16","Yuri Malenchenko, Talgat Musabayev","5h 6m","1994-09-09",""
"132","","EO-16","Yuri Malenchenko, Talgat Musabayev","6h 1m","1994-09-13",""
"133","","STS-64","Mark Lee, Carl Meade","6h 51m","1994-09-16",""
